336.0,336.0,336.0,336.0,336.0,336.0,2024-02-05 10:28:05
336.0,336.0,336.0,336.0,336.0,336.0,2024-02-05 10:28:05
337.0,337.0,337.0,337.0,337.0,337.0,2024-02-05 10:28:05
337.0,337.0,337.0,337.0,337.0,337.0,2024-02-05 10:28:05
337.0,337.0,337.0,337.0,337.0,337.0,2024-02-05 10:28:06
337.0,337.0,337.0,337.0,337.0,337.0,2024-02-05 10:28:06
337.0,337.0,337.0,337.0,337.0,337.0,2024-02-05 10:28:06
338.0,338.0,338.0,338.0,338.0,338.0,2024-02-05 10:28:06
338.0,338.0,338.0,338.0,338.0,338.0,2024-02-05 10:28:07
338.0,338.0,338.0,338.0,338.0,338.0,2024-02-05 10:28:07
338.0,338.0,338.0,338.0,338.0,338.0,2024-02-05 10:28:07
339.0,339.0,339.0,339.0,339.0,339.0,2024-02-05 10:28:07
339.0,339.0,339.0,339.0,339.0,339.0,2024-02-05 10:28:08
339.0,339.0,339.0,339.0,339.0,339.0,2024-02-05 10:28:08
339.0,339.0,339.0,339.0,339.0,339.0,2024-02-05 10:28:08
340.0,340.0,340.0,340.0,340.0,340.0,2024-02-05 10:28:08
340.0,340.0,340.0,340.0,340.0,340.0,2024-02-05 10:28:08
340.0,340.0,340.0,340.0,340.0,340.0,2024-02-05 10:28:09
340.0,340.0,340.0,340.0,340.0,340.0,2024-02-05 10:28:09
340.0,340.0,340.0,340.0,340.0,340.0,2024-02-05 10:28:09
341.0,341.0,341.0,341.0,341.0,341.0,2024-02-05 10:28:09
341.0,341.0,341.0,341.0,341.0,341.0,2024-02-05 10:28:10
341.0,341.0,341.0,341.0,341.0,341.0,2024-02-05 10:28:10
341.0,341.0,341.0,341.0,341.0,341.0,2024-02-05 10:28:10
342.0,342.0,342.0,342.0,342.0,342.0,2024-02-05 10:28:10
342.0,342.0,342.0,342.0,342.0,342.0,2024-02-05 10:28:11
